time,total_incoming_green_energy,total_incoming_brown_energy,total_incoming_load,total_actual_load,green_energy_price,brown_energy_price
2015-01-01 00:00:00+01:00,12.59,7.12,19.71,17.71,644.71,364.25
2015-01-01 01:00:00+01:00,12.1,7.31,19.41,17.01,619.21,374.28
2015-01-01 02:00:00+01:00,11.75,6.95,18.69,15.86,601.24,355.75
2015-01-01 03:00:00+01:00,11.39,6.21,17.6,14.85,582.89,317.93
2015-01-01 04:00:00+01:00,11.35,5.83,17.18,14.14,580.85,298.43
2015-01-01 05:00:00+01:00,11.32,5.58,16.91,13.89,579.49,285.89
2015-01-01 06:00:00+01:00,11.24,5.43,16.67,13.96,575.24,277.89
2015-01-01 07:00:00+01:00,11.04,5.31,16.35,14.22,565.03,271.89
2015-01-01 08:00:00+01:00,10.88,5.42,16.3,14.02,557.14,277.43
2015-01-01 09:00:00+01:00,11.28,5.55,16.83,14.4,577.57,284.18
2015-01-01 10:00:00+01:00,12.12,5.55,17.67,15.52,620.49,284.21
2015-01-01 11:00:00+01:00,12.23,5.73,17.96,16.43,626.17,293.21
2015-01-01 12:00:00+01:00,12.44,5.94,18.38,16.84,636.71,304.1
2015-01-01 13:00:00+01:00,12.55,6.04,18.59,17.24,642.39,309.03
2015-01-01 14:00:00+01:00,12.36,5.93,18.29,17.21,632.85,303.6
2015-01-01 15:00:00+01:00,12.26,5.67,17.93,16.41,627.6,290.32
2015-01-01 16:00:00+01:00,11.58,5.91,17.49,16.13,592.89,302.28
2015-01-01 17:00:00+01:00,10.77,6.42,17.19,16.47,551.07,328.64
2015-01-01 18:00:00+01:00,10.65,6.98,17.63,18.45,545.42,357.14
2015-01-01 19:00:00+01:00,12.11,6.85,18.96,19.55,620.03,350.71
2015-01-01 20:00:00+01:00,12.87,6.88,19.75,20.24,658.57,352.28
2015-01-01 21:00:00+01:00,13.06,7.15,20.21,20.63,668.71,366.03
2015-01-01 22:00:00+01:00,12.52,7.24,19.76,20.25,640.74,370.68
2015-01-01 23:00:00+01:00,11.17,7.08,18.25,18.7,571.71,362.5
2015-01-02 00:00:00+01:00,19.13,3.29,22.42,18.89,979.28,168.5
2015-01-02 01:00:00+01:00,18.68,3.02,21.7,17.4,956.1,154.61
2015-01-02 02:00:00+01:00,18.45,2.81,21.26,16.2,944.46,143.86
2015-01-02 03:00:00+01:00,18.53,2.92,21.45,15.73,948.6,149.43
2015-01-02 04:00:00+01:00,18.21,2.95,21.16,15.42,932.13,151.03
2015-01-02 05:00:00+01:00,18.08,2.96,21.04,15.39,925.56,151.53
2015-01-02 06:00:00+01:00,18.2,3.0,21.2,15.54,931.63,153.5
2015-01-02 07:00:00+01:00,18.07,2.96,21.03,16.06,925.24,151.53
2015-01-02 08:00:00+01:00,17.83,2.94,20.76,16.53,912.6,150.25
2015-01-02 09:00:00+01:00,18.16,3.22,21.38,18.02,929.42,165.0
2015-01-02 10:00:00+01:00,18.7,3.09,21.79,19.48,957.28,158.14
2015-01-02 11:00:00+01:00,19.71,2.98,22.7,20.28,1009.06,152.75
2015-01-02 12:00:00+01:00,20.17,2.92,23.09,20.28,1032.42,149.39
2015-01-02 13:00:00+01:00,20.44,2.97,23.41,20.54,1046.24,151.96
2015-01-02 14:00:00+01:00,20.39,3.02,23.4,20.4,1043.6,154.36
2015-01-02 15:00:00+01:00,20.29,2.89,23.17,19.52,1038.56,147.71
2015-01-02 16:00:00+01:00,20.34,3.08,23.43,19.06,1041.38,157.82
2015-01-02 17:00:00+01:00,19.56,3.48,23.03,18.95,1001.06,177.93
2015-01-02 18:00:00+01:00,17.87,4.31,22.18,20.26,914.56,220.75
2015-01-02 19:00:00+01:00,17.84,5.32,23.16,22.3,913.03,272.28
2015-01-02 20:00:00+01:00,17.74,5.29,23.03,23.21,908.03,270.89
2015-01-02 21:00:00+01:00,17.96,5.37,23.32,23.49,919.24,274.64
2015-01-02 22:00:00+01:00,17.24,5.19,22.43,22.62,882.38,265.64
2015-01-02 23:00:00+01:00,16.63,4.1,20.73,20.72,851.49,209.78
2015-01-03 00:00:00+01:00,15.92,4.13,20.05,17.84,815.03,211.53
2015-01-03 01:00:00+01:00,16.01,3.83,19.83,16.45,819.39,195.93
2015-01-03 02:00:00+01:00,16.38,3.72,20.09,15.48,838.35,190.21
2015-01-03 03:00:00+01:00,16.52,3.6,20.12,14.86,845.6,184.18
2015-01-03 04:00:00+01:00,16.56,3.44,20.0,14.75,847.71,176.18
2015-01-03 05:00:00+01:00,16.85,3.54,20.39,14.87,862.35,181.21
2015-01-03 06:00:00+01:00,16.88,3.54,20.42,15.12,864.1,180.96
